Jurisdiction,Not in ICU,ICU,Date
QLD,66,0.0,2021-12-20
Australia,641,114.0,2021-12-20
SA,6,0.0,2021-12-20
TAS,0,0.0,2021-12-20
NT,13,0.0,2021-12-20
VIC,325,81.0,2021-12-20
WA,0,0.0,2021-12-20
NSW,228,33.0,2021-12-20
ACT,3,0.0,2021-12-20
Australia,663,113.0,2021-12-21
TAS,0,0.0,2021-12-21
SA,7,0.0,2021-12-21
NT,15,0.0,2021-12-21
VIC,319,73.0,2021-12-21
NSW,245,39.0,2021-12-21
ACT,3,0.0,2021-12-21
WA,0,0.0,2021-12-21
QLD,74,1.0,2021-12-21
QLD,74,1.0,2021-12-22
NSW,245,39.0,2021-12-22
ACT,3,0.0,2021-12-22
Australia,658,113.0,2021-12-22
TAS,0,0.0,2021-12-22
VIC,319,73.0,2021-12-22
WA,0,0.0,2021-12-22
NT,10,0.0,2021-12-22
SA,7,0.0,2021-12-22
NT,11,,2021-12-23
Australia,11,0.0,2021-12-23
NT,10,1.0,2021-12-24
WA,0,0.0,2021-12-24
Australia,780,131.0,2021-12-24
TAS,0,0.0,2021-12-24
SA,7,1.0,2021-12-24
QLD,110,1.0,2021-12-24
NSW,329,53.0,2021-12-24
ACT,2,0.0,2021-12-24
VIC,322,75.0,2021-12-24
NT,19,1.0,2021-12-25
Australia,789,131.0,2021-12-25
SA,7,1.0,2021-12-25
VIC,322,75.0,2021-12-25
ACT,2,0.0,2021-12-25
NSW,329,53.0,2021-12-25
QLD,110,1.0,2021-12-25
TAS,0,0.0,2021-12-25
WA,0,0.0,2021-12-25
NT,18,1.0,2021-12-26
VIC,297,77.0,2021-12-26
WA,0,0.0,2021-12-26
QLD,100,0.0,2021-12-26
NSW,406,52.0,2021-12-26
ACT,1,0.0,2021-12-26
Australia,836,133.0,2021-12-26
SA,14,3.0,2021-12-26
TAS,0,0.0,2021-12-26
NT,15,1.0,2021-12-27
Australia,861,140.0,2021-12-27
TAS,0,0.0,2021-12-27
QLD,72,0.0,2021-12-27
SA,19,4.0,2021-12-27
VIC,288,80.0,2021-12-27
WA,0,0.0,2021-12-27
NSW,466,55.0,2021-12-27
ACT,1,0.0,2021-12-27
TAS,0,0.0,2021-12-28
Australia,932,135.0,2021-12-28
VIC,292,69.0,2021-12-28
ACT,3,0.0,2021-12-28
NSW,497,60.0,2021-12-28
QLD,89,0.0,2021-12-28
SA,31,5.0,2021-12-28
NT,20,1.0,2021-12-28
WA,0,0.0,2021-12-28
Australia,1188,126.0,2021-12-29
TAS,0,0.0,2021-12-29
VIC,335,62.0,2021-12-29
WA,0,0.0,2021-12-29
ACT,4,0.0,2021-12-29
NSW,564,61.0,2021-12-29
NT,158,0.0,2021-12-29
QLD,93,0.0,2021-12-29
SA,34,3.0,2021-12-29
NT,21,0.0,2021-12-30
Australia,1185,122.0,2021-12-30
SA,33,4.0,2021-12-30
VIC,340,55.0,2021-12-30
ACT,4,0.0,2021-12-30
NSW,684,63.0,2021-12-30
TAS,0,0.0,2021-12-30
WA,0,0.0,2021-12-30
QLD,103,0.0,2021-12-30
Australia,1335,128.0,2021-12-31
VIC,374,54.0,2021-12-31
TAS,0,0.0,2021-12-31
SA,40,4.0,2021-12-31
QLD,126,1.0,2021-12-31
NT,24,0.0,2021-12-31
NSW,765,69.0,2021-12-31
ACT,6,0.0,2021-12-31
WA,0,0.0,2021-12-31
SA,67,4.0,2022-01-01
VIC,400,51.0,2022-01-01
WA,0,0.0,2022-01-01
NT,21,0.0,2022-01-01
TAS,0,0.0,2022-01-01
NSW,824,79.0,2022-01-01
ACT,6,0.0,2022-01-01
Australia,1467,135.0,2022-01-01
QLD,149,1.0,2022-01-01
TAS,2,0.0,2022-01-02
VIC,420,52.0,2022-01-02
ACT,8,1.0,2022-01-02
NSW,986,83.0,2022-01-02
QLD,165,5.0,2022-01-02
WA,0,0.0,2022-01-02
NT,26,0.0,2022-01-02
SA,75,7.0,2022-01-02
Australia,1682,148.0,2022-01-02
SA,85,9.0,2022-01-03
TAS,0,0.0,2022-01-03
WA,0,0.0,2022-01-03
VIC,435,56.0,2022-01-03
NSW,1110,95.0,2022-01-03
ACT,9,2.0,2022-01-03
Australia,1831,171.0,2022-01-03
NT,21,0.0,2022-01-03
QLD,171,9.0,2022-01-03
NT,24,0.0,2022-01-04
Australia,2025,184.0,2022-01-04
VIC,460,56.0,2022-01-04
WA,0,0.0,2022-01-04
ACT,12,1.0,2022-01-04
NSW,1245,104.0,2022-01-04
SA,90,12.0,2022-01-04
TAS,0,0.0,2022-01-04
QLD,194,11.0,2022-01-04
NSW,1373,118.0,2022-01-05
NT,21,0.0,2022-01-05
QLD,265,10.0,2022-01-05
SA,113,12.0,2022-01-05
TAS,4,0.0,2022-01-05
WA,0,0.0,2022-01-05
VIC,538,53.0,2022-01-05
Australia,2329,194.0,2022-01-05
ACT,15,1.0,2022-01-05
NSW,1479,130.0,2022-01-06
Australia,2446,257.0,2022-01-06
WA,0,0.0,2022-01-06
TAS,0,0.0,2022-01-06
VIC,531,100.0,2022-01-06
NT,23,1.0,2022-01-06
SA,111,12.0,2022-01-06
QLD,284,12.0,2022-01-06
